# TEMA: AS GRANDES ORIGENS DAS CIVILIZAÇÕES: UMA ANÁLISE EVOLUTIVA E INSTITUCIONAL
# DESCRIÇÃO: Quiz sobre os marcos cruciais da evolução humana (Paleolítico), Revolução Neolítica, Idade dos Metais e as estruturas fundacionais da Mesopotâmia, Egito, Hebreus, Persas e China.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"MESOPOTÂMIA: Qual foi a primeira civilização urbana conhecida, localizada no sul da Mesopotâmia, creditada pela invenção da roda e da escrita cuneiforme?","Babilônios","Acádios","Sumérios","Assírios",c
"MESOPOTÂMIA: Qual era a função original da escrita cuneiforme (cerca de 2000 símbolos) inventada pelos Sumérios?","Ferramenta para a literatura épica e mitológica.","Instrumento de poder estatal para codificação de leis.","Ferramenta administrativa e contábil, realizada em argila.","Propaganda religiosa e política.",c
"MESOPOTÂMIA: Qual rei do Primeiro Império Babilônico unificou o território e transformou a escrita cuneiforme em um poderoso instrumento político para a manutenção da ordem?","Sargão da Acádia","Nabucodonosor II","Hamurabi","Ciro, o Grande",c
"MESOPOTÂMIA: Qual é o marco legal histórico (escrito em 1772 a.C.) que utilizou a escrita para garantir a imutabilidade e a uniformidade das leis, centralizando a justiça nas mãos do estado babilônico?","As Leis de Manu","O Código de Ur-Nammu","O Código de Hamurabi","A Torá",c
"MESOPOTÂMIA: O que eram os Zigurates na arquitetura suméria?","Fortalezas militares.","Templos em camadas que serviam como centros de poder religioso e político.","Mercados de comércio.","Bibliotecas de escrita.",b
"MESOPOTÂMIA: Qual povo semita fundou o Império Neobabilônico, alcançando o esplendor sob Nabucodonosor II e sendo lembrado pelos avanços na astronomia?","Sumérios","Assírios","Hititas","Caldeus",d
"NILO E MEDITERRÂNEO: O sistema de governo do Egito Antigo era caracterizado por qual forma de centralização, onde o Faraó era a divindade viva e a fonte máxima de poder?","Democracia Direta","Oligarquia Mercantil","Teocracia Faraônica","Monarquia Absoluta",c
"NILO E MEDITERRÂNEO: Qual povo, limitado por uma faixa costeira estreita, se voltou para o mar, estabelecendo uma talassocracia baseada no domínio do comércio e da navegação?","Os Gregos","Os Hebreus","Os Fenícios","Os Romanos",c
"NILO E MEDITERRÂNEO: Qual foi o legado mais duradouro dos Fenícios para a comunicação ocidental?","A construção de navios de guerra.","A invenção e disseminação do alfabeto (escrita alfabética), simples e rápido para o comércio.","A escrita cuneiforme.","A codificação das leis em pedra.",b
"NILO E MEDITERRÂNEO: Qual era a principal característica do alfabeto fenício que facilitou sua adoção por diversas culturas, incluindo a grega e a romana?","Sua complexidade burocrática.","Sua simplicidade e rapidez para a contabilidade e comunicação transcultural de larga escala.","Seu uso exclusivo de ideogramas.","Seu uso exclusivo em papiros.",b
"NILO E MEDITERRÂNEO: Qual complexo ritual no Egito Antigo refletia a profunda crença na vida após a morte?","O culto ao fogo.","A construção de estradas reais.","O ritual de mumificação.","O Código de Hamurabi.",c
"HEBREUS E PERSAS: Qual evento, liderado por Moisés, é o evento fundador da identidade nacional e religiosa dos Hebreus, simbolizando a libertação da escravidão no Egito?","A diáspora","O Exílio Babilônico","O Êxodo","A Revolta de Bar Kokhba",c
"HEBREUS E PERSAS: Qual é a principal consequência que a perda do Templo e da Terra de Israel impôs à identidade hebraica após a Diáspora Judaica?","A adoção do politeísmo.","O desenvolvimento de uma identidade baseada na lei, no texto e na observância comunitária.","O retorno à vida nômade de caça-coleta.","A conversão em massa ao Cristianismo.",b
"HEBREUS E PERSAS: Qual monarca hebreu subiu ao trono (1013–973 a.C.), estabeleceu Jerusalém como capital e iniciou a 'época áurea'?","Salomão","Saul","Davi","Moisés",c
"HEBREUS E PERSAS: Qual era o traço distintivo da política do Império Aquemênida (Persa), sob Ciro, que garantiu a lealdade de muitos povos subjugados?","O uso da força militar para conversão religiosa forçada.","A política de tolerância religiosa e cultural.","A destruição de todos os templos estrangeiros.","A imposição de um único idioma em todo o império.",b
"HEBREUS E PERSAS: Qual foi o principal meio de infraestrutura logística construído por Dario I para ligar as províncias regionais (*Sátrapas*) à capital, Persépolis?","O Canal de Suez","A Grande Muralha","A Estrada Real","A Via Ápia",c
"HEBREUS E PERSAS: Qual o modelo de organização administrativa pioneiro usado por Dario I para governar seu vasto império, dividindo-o em províncias regionais?","Cidades-Estado independentes.","Monarquias eleitorais.","Sátrapas, governadas por Sátrapas (governadores).","Impérios Marítimos (Talassocracias).",c
"CIVILIZAÇÕES ORIENTAIS: Qual civilização no Vale do Indo (c. 2600 e 1900 a.C.) é notável por seu planejamento urbano e os primeiros vestígios de escrita no subcontinente?","Civilização Védica","Dinastia Shang","Civilização de Harappa","Reino de Judá",c
"CIVILIZAÇÕES ORIENTAIS: O declínio da Civilização do Vale do Indo é enigmático, mas teorias apontam para quais causas?","A conquista romana.","O domínio dos Hititas.","Mudanças climáticas (dessecagem de rios), desastres naturais e possíveis invasões.","O Monopólio do Bronze.",c
"CIVILIZAÇÕES ORIENTAIS: Qual filósofo chinês emergiu no período de crise da Dinastia Zhou, oferecendo um sistema ético-político focado na estabilidade social através da moralidade pessoal e da hierarquia?","Lao-Tsé","Mêncio","Confúcio (Kongzi)","Buda",c
"CIVILIZAÇÕES ORIZAIS: Qual conceito confucionista é o mais fundamental para a ordem social, exigindo que o comportamento dos indivíduos estivesse em estrita conformidade com seus títulos sociais?","Ren (Humanidade)","Li (Ritos)","Retificação dos Nomes (Zheng Ming)","Tao",c
"CIVILIZAÇÕES ORIENTAIS: O Confucionismo estabeleceu a base hierárquica através dos 'Cinco Relacionamentos Cardeais', priorizando o quê?","A igualdade absoluta entre todos os homens.","A deferência e a reciprocidade entre superior e inferior.","O individualismo e a autonomia política.","O domínio do comércio sobre a agricultura.",b
"CIVILIZAÇÕES ORIENTAIS: O Período Jomon no Japão (8000 a 300 a.C.) é notável por ter desenvolvido qual inovação, uma das mais antigas do mundo, que reflete a capacidade de armazenamento de alimentos?","A Cerâmica Jomon","A escrita Kanji","O arco e flecha","A domesticação de cavalos",a
"CIVILIZAÇÕES ORIENTAIS: O Período Jomon demonstrou que o sedentarismo e a complexidade social podem se desenvolver em regiões com recursos abundantes, mesmo antes da adoção de qual prática como principal meio de subsistência?","A caça-coleta intensiva.","A agricultura intensiva.","A metalurgia do ferro.","O comércio marítimo.",b
