# TEMA: DA CÁTEDRA DE PEDRO AO TRONO DE OTÃO: HISTÓRIA DA IGREJA (SÉCULOS VI AO X)
# DESCRIÇÃO: Transformação da Igreja de instituição romana sob Bizâncio para potência soberana no Ocidente, marcada por expansão missionária e crises políticas (Cesaropapismo, Idade de Ferro e Cluny).
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"CRISE E REFORMA (SÉCULOS IX E X): O Cisma de Fócio (c. 863-867) foi um confronto direto entre o Papa Nicolau I e o Patriarca Fócio, envolvendo qual controvérsia doutrinária?","A proibição da veneração de ícones.","A condenação dos Três Capítulos.","A doutrina ocidental do *Filioque* (processão do Espírito Santo do Pai *e do Filho*).","A negação da divindade de Cristo.",c
"CRISE E REFORMA (SÉCULOS IX E X): Qual foi o nome dado ao período controverso (c. 891 a 1003) no qual o Papado esteve sob a completa ingerência da aristocracia local de Roma (ingerência política, cobiça e ilegalidade)?","Período Carolíngio","Idade de Ferro (*Saeculum Obscurum*)","Idade das Trevas","Cesaropapismo",b
"CRISE E REFORMA (SÉCULOS IX E X): O que o Sínodo do Cadáver (897 d.C.), no qual o corpo do Papa Formoso foi julgado, simbolizou?","A vitória da moralidade papal.","O auge da força do Império Carolíngio.","A completa falência da moralidade e da estrutura de sucessão papal sob o domínio da aristocracia romana.","O fim das invasões sarracenas.",c
"CRISE E REFORMA (SÉCULOS IX E X): A anarquia da Idade de Ferro só foi resolvida pela intervenção de Otão I. Qual evento marcou o nascimento do Sacro Império Romano-Germânico em 962 d.C.?","A derrota do Império Bizantino.","A coroação de Otão I como Imperador em Roma.","A fundação da Abadia de Cluny.","O fim do Cisma de Fócio.",b
"CRISE E REFORMA (SÉCULOS IX E X): Em contraste com a crise em Roma, qual movimento monástico, fundado em 910 d.C., se tornou um modelo de pureza eclesiástica por ser isento da interferência de reis e bispos locais?","O Monacato Celta","A Reforma Monástica de Cluny","A Ordem Cartuxa","Os Agostinianos",b
"CONTROVÉRSIAS DOUTRINÁRIAS: Qual controvérsia do Século VI expôs a ingerência imperial (*Cesaropapismo*) ao condenar autores ligados ao Nestorianismo por ordem de Justiniano?","Crise Iconoclasta","Cisma de Fócio","Controvérsia dos Três Capítulos","Monotelismo",c
"CONTROVÉRSIAS DOUTRINÁRIAS: Qual controvérsia do Século VII, que defendia uma única vontade em Cristo, levou ao exílio e martírio do Papa Martinho I, sublinhando a tirania política bizantina?","Controvérsia dos Três Capítulos","Crise Iconoclasta","Monotelismo","Arianismo",c
"CONTROVÉRSIAS DOUTRINÁRIAS: Qual crise dos Séculos VIII-IX acelerou a separação cultural e política Ocidente-Oriente, com Roma condenando a proibição e destruição de ícones religiosos?","Monotelismo","A Controvérsia dos Três Capítulos","Crise Iconoclasta","Cisma de Fócio",c
"CONTROVÉRSIAS DOUTRINÁRIAS: Qual conflito do Século IX, precursor do Grande Cisma de 1054, envolveu a primazia papal e a doutrina ocidental do *Filioque* (processão do Espírito Santo do Pai *e do Filho*)?","Crise Iconoclasta","Cisma de Fócio","Monotelismo","Controvérsia dos Três Capítulos",b
"CONTROVÉRSIAS DOUTRINÁRIAS: Qual Concílio, ocorrido no final da Crise Iconoclasta (787 d.C.), condenou o Iconoclasmo e restabeleceu a veneração de ícones?","Niceia I","Calcedônia","Niceia II","Constantinopla I",c
