# TEMA: HISTÓRIA DO BRASIL: DO PRÉ-CABRALINO AO FINAL DO SÉCULO XX
# DESCRIÇÃO: Quiz abrangente sobre a chegada dos portugueses, períodos colonial (cana e ouro), Império (I e II Reinados) e República (Velha, Era Vargas, Ditadura e Redemocratização).
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"BRASIL COLÔNIA III (UNIÃO IBÉRICA E OURO): Quem eram os 'bandeirantes'?","Comerciantes de cana-de-açúcar no Nordeste.","Exploradores do interior (geralmente paulistas) que buscavam ouro, prata ou a captura de indígenas e escravos fugidos.","Religiosos da Companhia de Jesus.","Militares espanhóis que protegiam a costa.",b
"BRASIL COLÔNIA III (UNIÃO IBÉRICA E OURO): Qual imposto cobrado pela Coroa incidia sobre o ouro extraído, correspondendo a um quinto (20%) da produção?","A derrama","O Vintém","O Quinto","O Capataz",c
"BRASIL COLÔNIA III (UNIÃO IBÉRICA E OURO): O que foi a Inconfidência Mineira (1789)?","Uma revolta dos mineradores contra o quinto e o domínio português, com ideias republicanas.","Um movimento para libertar todos os escravos de Minas Gerais.","Uma guerra entre mineradores e bandeirantes.","Uma revolta de escravos em Ouro Preto.",a
"BRASIL IMPÉRIO I (INDEPENDÊNCIA E 1º REINADO): Qual o contexto da invasão de Napoleão a Portugal que motivou a transferência da Família Real para o Brasil em 1808?","A pressão da Espanha.","O não cumprimento do Bloqueio Continental contra a Inglaterra.","O desejo de Dom João de conhecer a Colônia.","A Revolução Francesa.",b
"BRASIL IMPÉRIO I (INDEPENDÊNCIA E 1º REINADO): Qual foi o marco que elevou o status político da Colônia antes da Independência?","A Proclamação da República.","A elevação do Brasil à categoria de Reino Unido a Portugal e Algarves (1815).","O fim do tráfico negreiro.","A Inconfidência Mineira.",b
"BRASIL IMPÉRIO I (INDEPENDÊNCIA E 1º REINADO): O que foi o 'Dia do Fico' (9 de janeiro de 1822)?","A recusa de Dom Pedro I em retornar a Portugal, atendendo a um abaixo-assinado popular.","O dia em que Dom Pedro I assinou a Constituição.","A data da Proclamação da República.","O dia da assinatura da Lei Áurea.",a
"BRASIL IMPÉRIO I (INDEPENDÊNCIA E 1º REINADO): O que foi a Confederação do Equador?","Uma revolta popular no Rio de Janeiro pela abdicação de D. Pedro I.","Um levante republicano e separatista no Nordeste (Pernambuco e vizinhos) contra o autoritarismo de D. Pedro I.","O acordo de paz com a Cisplatina.","A guerra contra o Paraguai.",b
"BRASIL IMPÉRIO I (INDEPENDÊNCIA E 1º REINADO): Qual revolta levou à abdicação de Dom Pedro I em 1831?","A Guerra dos Farrapos.","O movimento 'Fora Pedro' e as crises políticas e militares no Rio de Janeiro.","A Revolta da Cisplatina.","A Revolução Pernambucana de 1817.",b
"BRASIL IMPÉRIO I (INDEPENDÊNCIA E 1º REINADO): O que marcou o início do Segundo Reinado em 1840?","O fim do tráfico negreiro.","A abdicação de Dom Pedro I.","O 'Golpe da Maioridade', que declarou Dom Pedro II apto a governar aos 14 anos.","O fim da Guerra do Paraguai.",c
"BRASIL IMPÉRIO II (2º REINADO E REGENCIAL): Qual o nome dado à política informal do Segundo Reinado que promovia a troca de poder entre liberais e conservadores?","Política do café com leite","Coronelismo","Alternância de Poder (ou Parlamentarismo às Avessas)","Tenentismo",c
"BRASIL IMPÉRIO II (2º REINADO E REGENCIAL): Qual produto se tornou o novo motor da economia brasileira no Segundo Reinado, concentrando-se principalmente no Sudeste?","A cana-de-açúcar","O algodão","O café","A borracha",c
"BRASIL IMPÉRIO II (2º REINADO E REGENCIAL): O que foi a Guerra do Paraguai (1864-1870)?","Um conflito interno no Brasil entre as elites do Nordeste e Sudeste.","O maior conflito armado da história da América do Sul, envolvendo Brasil, Argentina e Uruguai contra o Paraguai.","Uma guerra civil pela abolição da escravidão.","Um conflito contra os Estados Unidos.",b
"BRASIL IMPÉRIO II (2º REINADO E REGENCIAL): Qual foi o principal fator político-militar que motivou o fim da escravidão?","A pressão da Igreja Católica.","O crescimento do abolicionismo, a resistência escrava e a pressão da Inglaterra, culminando na Lei Áurea.","O desejo da elite cafeeira em modernizar a produção.","O êxodo rural em massa.",b
"BRASIL IMPÉRIO II (2º REINADO E REGENCIAL): Quem foi Floriano Peixoto?","O primeiro presidente civil do Brasil.","O 'Marechal de Ferro', segundo presidente da República e figura chave na Consolidação do regime.","O último Imperador.","O líder da Guerra do Paraguai.",b
"BRASIL IMPÉRIO II (2º REINADO E REGENCIAL): Qual evento político em 15 de novembro de 1889 pôs fim ao regime monárquico no Brasil?","A Revolução de 1930.","A Proclamação da República.","A Guerra do Paraguai.","A Revolta da Vacina.",b
"REPÚBLICA VELHA (1889 - 1930): Qual era o nome da política informal da República Velha que garantia a alternância de poder entre os líderes de São Paulo e Minas Gerais?","A Política das Salvações","A Política dos Governadores","A Política do Café com Leite","O Tenentismo",c
"REPÚBLICA VELHA (1889 - 1930): O que era o 'Coronelismo'?","Um sistema de poder local e regional (principalmente no interior) baseado em grandes proprietários de terra (coronéis) que controlavam o voto e a política.","O domínio militar absoluto sobre a política nacional.","O movimento dos jovens oficiais do exército.","O nome dado às fazendas de café no Sudeste.",a
"REPÚBLICA VELHA (1889 - 1930): O que foi o movimento de Canudos, liderado por Antônio Conselheiro?","Uma revolta dos cafeicultores contra o governo.","Um movimento messiânico de cunho religioso e social no sertão da Bahia, reprimido violentamente pela República.","Um movimento operário em São Paulo.","Uma revolta de marinheiros no Rio de Janeiro.",b
"REPÚBLICA VELHA (1889 - 1930): O que foi o 'Tenentismo'?","Um movimento de coronéis da Guarda Nacional.","Um movimento de jovens oficiais do exército, insatisfeitos com a corrupção e a oligarquia da República Velha.","O sistema de arrendamento de terras no Nordeste.","A política de empréstimos externos.",b
"REPÚBLICA VELHA (1889 - 1930): O que marcou o fim da República Velha?","A Proclamação da República.","O Golpe da Maioridade.","A Revolução de 1930, que impediu a posse de Júlio Prestes e colocou Getúlio Vargas no poder.","O Milagre Econômico.",c
"REPÚBLICA VELHA (1889 - 1930): Qual presidente da República Velha foi impedido de tomar posse devido à Revolução de 1930?","Washington Luís","Júlio Prestes","Artur Bernardes","Afonso Pena",b
"ERA VARGAS E REPÚBLICA POPULISTA (1930 - 1964): Qual evento, em 1932, marcou a maior oposição armada ao governo Vargas?","A Intentona Comunista.","A Revolução Constitucionalista de São Paulo.","A Revolta da Vacina.","A Guerra dos Mascates.",b
"ERA VARGAS E REPÚBLICA POPULISTA (1930 - 1964): Qual era o nome do regime ditatorial de Vargas (1937-1945), marcado pelo autoritarismo e forte centralização do poder?","Governo Provisório","Estado Novo","República da Espada","República Liberal",b
"ERA VARGAS E REPÚBLICA POPULISTA (1930 - 1964): Quem foi JK (Juscelino Kubitschek) e qual seu slogan de governo (1956-1961)?","Ditador militar, 'Segurança Nacional'.","Presidente, '50 anos em 5' e a construção de Brasília.","Presidente, 'Tostão contra o Milhão'.","Líder do Tenentismo.",b
"ERA VARGAS E REPÚBLICA POPULISTA (1930 - 1964): Quem era o vice-presidente que assumiu a presidência após a renúncia de Jânio Quadros em 1961, causando uma crise política?","João Goulart (Jango)","Castelo Branco","Getúlio Vargas","Costa e Silva",a
"ERA VARGAS E REPÚBLICA POPULISTA (1930 - 1964): Qual movimento civil-militar depôs João Goulart em 1964?","A Revolução de 1930.","O Golpe Militar (ou Revolução de 1964).","As Diretas Já.","A Revolta da Chibata.",b
"REPÚBLICA MILITAR E REDEMOCRATIZAÇÃO (1964 - 2000): O que foram os Atos Institucionais (AI-1 ao AI-5)?","Leis de proteção aos direitos humanos.","Decretos com força de lei emitidos pelos presidentes militares, sendo o AI-5 (1968) o mais repressivo.","Documentos de transição para a democracia.","Tratados internacionais de comércio.",b
"REPÚBLICA MILITAR E REDEMOCRATIZAÇÃO (1964 - 2000): O que foi o movimento das 'Diretas Já' (1983-1984)?","Um movimento que pedia a continuidade do regime militar.","Um movimento popular que pedia o retorno das eleições diretas para presidente.","O programa de estabilização econômica de Sarney.","O nome dado aos primeiros atos de repressão.",b
"REPÚBLICA MILITAR E REDEMOCRATIZAÇÃO (1964 - 2000): Quem foi José Sarney?","O primeiro presidente militar pós-1964.","O vice de Tancredo Neves que assumiu a presidência na redemocratização.","O último presidente da República Velha.","O criador do Plano Real.",b
"REPÚBLICA MILITAR E REDEMOCRATIZAÇÃO (1964 - 2000): Quem foi o presidente que sofreu impeachment em 1992, em meio a denúncias de corrupção?","Fernando Henrique Cardoso (FHC)","Itamar Franco","Fernando Collor de Mello","Lula",c
"REPÚBLICA MILITAR E REDEMOCRATIZAÇÃO (1964 - 2000): Quem foi o presidente responsável pela implementação do Plano Real (em 1994) e foi reeleito em 1998?","Itamar Franco","Fernando Collor de Mello","Fernando Henrique Cardoso (FHC)","José Sarney",c
"REPÚBLICA MILITAR E REDEMOCRATIZAÇÃO (1964 - 2000): Quem foi o presidente que assumiu o poder após o impeachment de Collor e manteve o Plano Real até sua implementação?","Fernando Henrique Cardoso (FHC)","Itamar Franco","Tancredo Neves","Dilma Rousseff",b
