# TEMA: O TRIBUNAL DO SANTO OFÍCIO: AS INQUISIÇÕES
# DESCRIÇÃO: Análise dos tipos de Inquisição (Medieval, Espanhola, Portuguesa e Romana), seus objetivos, métodos, relação com judeus, a Caça às Bruxas e o contexto histórico.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"CONTEXTO MODERNO E RELAÇÃO COM JUDEUS: Qual das seguintes afirmações resume a relação entre a Inquisição e os judeus?","A Inquisição atuou principalmente contra judeus não-convertidos na Espanha.","A Inquisição moderna teve como foco principal os cristãos-novos (conversos) suspeitos de criptojudaísmo.","Os judeus foram os únicos perseguidos pela Inquisição em toda a Europa.","A Inquisição foi criada para proteger os judeus da perseguição popular.",b
"CONTEXTO MODERNO E RELAÇÃO COM JUDEUS: Qual fenômeno é a base da acusação de 'imissão' ou silêncio que foi levantada contra o Papa Pio XII durante a Segunda Guerra Mundial?","Seu apoio aberto ao Nazismo e ao Fascismo.","Sua alegada falta de denúncia pública e imediata dos crimes do Holocausto.","Sua decisão de fechar as portas do Vaticano a todos os refugiados.","Sua recusa em condenar o Comunismo soviético.",b
"CONTEXTO MODERNO E RELAÇÃO COM JUDEUS: Qual foi o gesto notável do Papa João Paulo II em relação aos erros cometidos por 'filhos da Igreja', incluindo abusos nas Inquisições?","Um pedido de perdão formal às nações e aos reis europeus.","Um pedido de perdão a Deus pelos excessos e abusos cometidos por membros da Igreja no passado.","A revogação de todas as condenações emitidas pela Inquisição.","A canonização de todas as vítimas da Inquisição.",b
"ERROS E ACERTOS: Qual dos seguintes é considerado um erro grave do processo inquisitorial?","O estabelecimento de um sistema de defesa para o acusado.","O uso da tortura para obter confissões, embora com restrições teóricas.","O 'tempo da graça' concedido aos hereges para arrependimento.","O respeito irrestrito à jurisdição dos tribunais civis.",b
"ERROS E ACERTOS: Qual é um 'acerto' frequentemente citado da Inquisição Medieval por historiadores, em contraste com a justiça civil da época?","Ela permitiu a participação popular nas execuções.","A Inquisição, em muitos casos, empregava regras processuais mais cautelosas e menos violentas do que a justiça secular de seu tempo.","Ela foi o primeiro tribunal a abolir completamente a pena de morte.","A Inquisição garantia o direito de um júri popular ao acusado.",b
"ERROS E ACERTOS: Qual é a principal crítica histórica ao suposto 'acerto' da Inquisição de ter reduzido as penas de morte em comparação com os tribunais seculares?","A crítica reside no alto número de excomunhões aplicadas.","A crítica reside no uso do confisco de bens, que gerava interesse econômico na condenação dos acusados.","A crítica reside no fato de a Inquisição só ter atuado em casos leves.","A crítica reside no fato de o julgamento ter sido rápido demais.",b
"ERROS E ACERTOS: Qual das seguintes ações é um 'acerto' atribuído ao Papa Pio XII durante a Segunda Guerra Mundial, em contraste com a acusação de silêncio?","Sua intervenção para que a Inquisição fosse reaberta em Portugal.","O uso da rede eclesiástica para esconder e salvar milhares de judeus na Itália.","A excomunhão imediata de Hitler e Mussolini.","Sua declaração pública de guerra contra a Alemanha nazista.",b
"ERROS E ACERTOS: Qual é a principal diferença entre Inquisição e as chamadas 'Inquisições Protestantes' (Tribunais Calvinistas, Luteranos, etc.)?","As Inquisições Católicas combatiam o cisma, e as Protestantes combatiam a heresia.","As Inquisições Protestantes eram órgãos religiosos sem controle estatal.","As Inquisições Protestantes tinham o mesmo nome oficial de 'Santo Ofício'.","As Inquisições Protestantes eram respaldadas pelas leis de seus Estados, atuando em jurisdições seculares para impor a ortodoxia.",d
"CAÇA ÀS BRUXAS: A Caça às Bruxas, especialmente nos séculos XVI e XVII, foi mais intensa e mais associada a quais jurisdições?","A Inquisição Romana e a Inquisição Espanhola.","Os tribunais civis e os das 'Inquisições Protestantes' em estados como a Alemanha e a Inglaterra.","A Inquisição Portuguesa e suas colônias.","O Tribunal dos Templários.",b
"CAÇA ÀS BRUXAS: Qual obra, escrita por frades dominicanos em 1484, se tornou um manual demonológico usado como referência pelos inquisidores e juízes para a condenação de supostas feiticeiras?","O Nome da Rosa","Martelo das Feiticeiras (Malleus Maleficarum)","Suma Teológica","A Cidade de Deus",b
"CAÇA ÀS BRUXAS: Quem foram as principais vítimas dos grandes julgamentos de Caça às Bruxas na Europa Moderna (não limitadas, mas predominantemente)?","Altos clérigos envolvidos em corrupção.","Mulheres acusadas de bruxaria, muitas vezes por práticas populares de cura ou discordância social.","Cientistas e intelectuais do Iluminismo.","Homens ricos da burguesia.",b
"CAÇA ÀS BRUXAS: Quem, primariamente, promoveu e conduziu a Caça às Bruxas no seu auge (séculos XVI-XVII)?","Exclusivamente a Inquisição Medieval (já extinta).","Majoritariamente tribunais civis, seculares e os tribunais protestantes em seus respectivos Estados.","O Papa e o Colégio Cardinalício.","O Rei da França e o Rei da Inglaterra.",b
"CAÇA ÀS BRUXAS: Qual exemplo de Caça às Bruxas, levado às colônias na América do Norte, ficou famoso pela execução de adolescentes?","A Inquisição do México","O Caso das Bruxas de Salém","O Processo contra Joana D'Arc","O julgamento dos Templários",b
